z;id;descricao;id;descricao
-8922460974141761232;35;Wargame;44;Programming game
-8915653993480995581;42;Casual games;46;Trivia game
-8897045014259648655;22;Choices;56;Serious game
-8892731271123403153;37;Racing;12;Visual novels
-8890440264584397878;8;Survival horror;17;Roguelikes
-8886127535117486024;54;Exergame;1;Platform games
-8862697706287669531;54;Exergame;55;Personalized game
-8852591562982817204;47;Board game / Card game;33;Turn-based strategy (TBS)
-8847098239404661006;5;Stealth game;51;Christian game
-8847096398915568808;5;Stealth game;40;Sports-based fighting
-8838618410901949922;10;Text adventures;31;Multiplayer online battle arena (MOBA)
-8833914488068873183;32;Tower defense;24;Construction and management simulation
-8833418420471937904;13;Interactive movie;33;Turn-based strategy (TBS)
-8828587833649133214;35;Wargame;26;Vehicle simulation
-8810234537786250865;41;MMO;33;Turn-based strategy (TBS)
-8801769683234335482;54;Exergame;2;Shooter games
-8799865986398191640;35;Wargame;50;Casual game
-8791784411406652209;40;Sports-based fighting;42;Casual games
-8786776901390923050;15;Action RPG;33;Turn-based strategy (TBS)
-8784920222261813002;29;Real-time strategy (RTS);10;Text adventures
-8783558079105117151;26;Vehicle simulation;16;MMORPG
-8781400869085325464;9;Metroidvania;39;Competitive
-8779829641056246017;24;Construction and management simulation;55;Personalized game
-8777014198998442003;2;Shooter games;42;Casual games
-8773868689002161970;41;MMO;15;Action RPG
-8771405401614408990;43;Party game;50;Casual game
-8762074229036262127;32;Tower defense;42;Casual games
-8761612499093277217;52;Educational game;16;MMORPG
-8761184945960609339;3;Fighting games;30;Real-time tactics (RTT)
-8752104217775203225;22;Choices;30;Real-time tactics (RTT)
-8749401896943427043;43;Party game;34;Turn-based tactics (TBT)
-8748487961507313002;36;Grand strategy wargame;11;Graphic adventures
-8747380561072468018;27;4X game;52;Educational game
-8738658458931612103;19;Sandbox RPG;7;Rhythm games
-8730549517938462863;56;Serious game;37;Racing
-8729191549848669518;11;Graphic adventures;23;Fantasy
-8722272554753230834;10;Text adventures;10;Text adventures
-8721887495684667677;29;Real-time strategy (RTS);34;Turn-based tactics (TBT)
-8705735072243458458;35;Wargame;35;Wargame
-8704703932042796751;49;Art game;34;Turn-based tactics (TBT)
-8694361803885084822;51;Christian game;36;Grand strategy wargame
-8692418924054007708;53;Electronic sports;23;Fantasy
-8691176783066896408;17;Roguelikes;10;Text adventures
-8681167612922257413;50;Casual game;6;Survival games
-8675706105912357566;24;Construction and management simulation;49;Art game
-8668335047079776227;35;Wargame;2;Shooter games
-8661557347017336969;51;Christian game;47;Board game / Card game
-8660831190784285997;18;Tactical RPG;21;Cultural differences
-8654624657922452759;48;Advergame;1;Platform games
-8651049657294294153;53;Electronic sports;21;Cultural differences
-8647100633004145322;24;Construction and management simulation;30;Real-time tactics (RTT)
-8641016218143501419;20;First-person party-based RPG;18;Tactical RPG
-8639219161210913635;7;Rhythm games;38;Sports game
-8638255382303296298;1;Platform games;14;Real-time 3D adventures
-8637562526095438169;17;Roguelikes;42;Casual games
-8633271394558113927;47;Board game / Card game;34;Turn-based tactics (TBT)
-8627431645641236466;51;Christian game;2;Shooter games
-8625626938550384396;29;Real-time strategy (RTS);21;Cultural differences
-8623043585551236199;43;Party game;28;Artillery game
-8622527435648335383;27;4X game;42;Casual games
-8615452601166066120;54;Exergame;3;Fighting games
-8613852281190574041;28;Artillery game;12;Visual novels
-8589712027132478861;34;Turn-based tactics (TBT);40;Sports-based fighting
-8579399307691161054;44;Programming game;52;Educational game
-8578175245557950928;35;Wargame;40;Sports-based fighting
-8575459584433868549;6;Survival games;6;Survival games
-8563759750136353635;47;Board game / Card game;50;Casual game
-8558821432139331437;40;Sports-based fighting;41;MMO
-8554483090486715481;9;Metroidvania;2;Shooter games
-8554459757185586137;42;Casual games;24;Construction and management simulation
-8551872338048216495;11;Graphic adventures;16;MMORPG
-8530104927417568869;26;Vehicle simulation;24;Construction and management simulation
-8526077086850875921;5;Stealth game;11;Graphic adventures
-8523224099996300131;42;Casual games;16;MMORPG
-8514668573868300757;27;4X game;29;Real-time strategy (RTS)
-8510590697668540565;11;Graphic adventures;11;Graphic adventures
-8508949137834651532;19;Sandbox RPG;38;Sports game
-8504539627407744131;31;Multiplayer online battle arena (MOBA);28;Artillery game
-8498052705552555525;10;Text adventures;30;Real-time tactics (RTT)
-8493203404055053038;7;Rhythm games;33;Turn-based strategy (TBS)
-8490924858959681513;19;Sandbox RPG;29;Real-time strategy (RTS)
-8482845199498698829;8;Survival horror;37;Racing
-8482440182456650812;46;Trivia game;29;Real-time strategy (RTS)
-8454554095335739196;45;Logic game;54;Exergame
-8447099872007665259;7;Rhythm games;55;Personalized game
-8443093361859566760;43;Party game;15;Action RPG
-8441946004036720915;29;Real-time strategy (RTS);49;Art game
-8441313448673689991;8;Survival horror;21;Cultural differences
-8440780985779742153;9;Metroidvania;32;Tower defense
-8432422332462464076;42;Casual games;7;Rhythm games
-8425776422583562572;6;Survival games;1;Platform games
-8412166002439052493;25;Life simulation;27;4X game
-8408846319238866763;33;Turn-based strategy (TBS);44;Programming game
-8405495048977441845;11;Graphic adventures;25;Life simulation
-8402080969409649561;27;4X game;16;MMORPG
-8396021305427600396;55;Personalized game;1;Platform games
-8374865492301934446;41;MMO;11;Graphic adventures
-8356420290027259555;42;Casual games;9;Metroidvania
-8355336862109079087;49;Art game;22;Choices
-8346467317545488633;25;Life simulation;30;Real-time tactics (RTT)
-8295767743467666425;9;Metroidvania;27;4X game
-8294201131885501131;21;Cultural differences;55;Personalized game
-8293984635519282625;40;Sports-based fighting;40;Sports-based fighting
-8274984557383476596;48;Advergame;53;Electronic sports
-8274859204955568813;51;Christian game;5;Stealth game
-8270941550183759172;32;Tower defense;44;Programming game
-8261787656475016525;6;Survival games;40;Sports-based fighting
-8257812485244426996;8;Survival horror;12;Visual novels
-8255326182391311745;21;Cultural differences;29;Real-time strategy (RTS)
-8244760548008104913;26;Vehicle simulation;29;Real-time strategy (RTS)
-8244446831106510559;29;Real-time strategy (RTS);16;MMORPG
-8240182396649707947;52;Educational game;12;Visual novels
-8235904544635084227;36;Grand strategy wargame;26;Vehicle simulation
-8214567775741976844;27;4X game;48;Advergame
-8205022364999609853;34;Turn-based tactics (TBT);56;Serious game
-8190072361471162440;46;Trivia game;22;Choices
-8189735134127076170;2;Shooter games;47;Board game / Card game
-8174617655898576085;32;Tower defense;16;MMORPG
-8170168263101930954;20;First-person party-based RPG;2;Shooter games
-8158675910051193245;24;Construction and management simulation;32;Tower defense
-8156118589085386979;28;Artillery game;18;Tactical RPG
-8155171361301194657;22;Choices;10;Text adventures
-8152632195518916851;33;Turn-based strategy (TBS);17;Roguelikes
-8149278191926808512;51;Christian game;56;Serious game
-8149032584187001232;14;Real-time 3D adventures;1;Platform games
-8127380416225180245;12;Visual novels;4;Beat em up games
-8120791064653431104;35;Wargame;27;4X game
-8119923170582192277;1;Platform games;36;Grand strategy wargame
-8117024920778342915;27;4X game;30;Real-time tactics (RTT)
-8114126658531090613;34;Turn-based tactics (TBT);37;Racing
-8099719436673833447;38;Sports game;2;Shooter games
-8096675296752850918;36;Grand strategy wargame;53;Electronic sports
-8095444629287544507;38;Sports game;31;Multiplayer online battle arena (MOBA)
-8093013011898449678;18;Tactical RPG;32;Tower defense
-8080267034200722951;5;Stealth game;20;First-person party-based RPG
-8060443223340918493;28;Artillery game;25;Life simulation
-8060109418191730807;40;Sports-based fighting;17;Roguelikes
-8048315475039456835;9;Metroidvania;20;First-person party-based RPG
-8045437328857350249;50;Casual game;40;Sports-based fighting
-8045149115275005550;28;Artillery game;42;Casual games
-8045115880197431934;24;Construction and management simulation;16;MMORPG
-8043017594791419019;43;Party game;29;Real-time strategy (RTS)
-8008275680084580653;17;Roguelikes;7;Rhythm games
-7994154109308786521;45;Logic game;41;MMO
-7993900465270754137;19;Sandbox RPG;20;First-person party-based RPG
-7966934141452601652;34;Turn-based tactics (TBT);9;Metroidvania
-7961778980545896691;22;Choices;24;Construction and management simulation
-7961662933691848912;20;First-person party-based RPG;26;Vehicle simulation
-7957244755296026107;34;Turn-based tactics (TBT);4;Beat em up games
-7945875400528062570;14;Real-time 3D adventures;48;Advergame
-7945803340945524031;56;Serious game;31;Multiplayer online battle arena (MOBA)
-7937644749461738790;4;Beat em up games;1;Platform games
-7929231323158945436;20;First-person party-based RPG;30;Real-time tactics (RTT)
-7901231330201533521;50;Casual game;5;Stealth game
-7898932448341782291;11;Graphic adventures;45;Logic game
-7896195344219718007;41;MMO;3;Fighting games
-7894776005668400336;31;Multiplayer online battle arena (MOBA);25;Life simulation
-7888944963932538841;54;Exergame;10;Text adventures
-7883462491118745097;51;Christian game;17;Roguelikes
-7864425943784796027;37;Racing;13;Interactive movie
-7858046611180092993;49;Art game;51;Christian game
-7855723765144661832;19;Sandbox RPG;12;Visual novels
-7849195624979536295;52;Educational game;40;Sports-based fighting
-7839154835026546444;6;Survival games;12;Visual novels
-7828380058000015669;10;Text adventures;35;Wargame
-7827986441083170766;27;4X game;54;Exergame
-7825420703435511545;38;Sports game;44;Programming game
-7824021762504382587;11;Graphic adventures;50;Casual game
-7817820891367782186;15;Action RPG;4;Beat em up games
-7812713177316300612;19;Sandbox RPG;35;Wargame
-7805041668391418860;31;Multiplayer online battle arena (MOBA);53;Electronic sports
-7799932518811391597;32;Tower defense;40;Sports-based fighting
-7791336014351039528;7;Rhythm games;43;Party game
-7786704425685706827;41;MMO;25;Life simulation
-7785855905887283222;16;MMORPG;14;Real-time 3D adventures
-7782896272669408409;42;Casual games;27;4X game
-7781582888866957862;2;Shooter games;26;Vehicle simulation
-7778239848684883488;50;Casual game;17;Roguelikes
-7771942922043912606;27;4X game;14;Real-time 3D adventures
-7751549390619188999;29;Real-time strategy (RTS);15;Action RPG
-7750894141573095694;55;Personalized game;14;Real-time 3D adventures
-7747235396160521570;5;Stealth game;8;Survival horror
-7747223858427952141;29;Real-time strategy (RTS);35;Wargame
-7743578224602351927;23;Fantasy;16;MMORPG
-7741339251043237677;31;Multiplayer online battle arena (MOBA);31;Multiplayer online battle arena (MOBA)
-7721358144081168529;25;Life simulation;11;Graphic adventures
-7706896087544076342;38;Sports game;22;Choices
-7703347154047801120;29;Real-time strategy (RTS);4;Beat em up games
-7700859209715352108;2;Shooter games;4;Beat em up games
-7696972287697795569;51;Christian game;4;Beat em up games
-7694434132777502908;48;Advergame;38;Sports game
-7687753165306709445;53;Electronic sports;9;Metroidvania
-7673221756447389395;5;Stealth game;55;Personalized game
-7666597902454489800;29;Real-time strategy (RTS);50;Casual game
-7657973813989755745;15;Action RPG;44;Programming game
-7632806817615068885;48;Advergame;36;Grand strategy wargame
-7629008366259620073;1;Platform games;24;Construction and management simulation
-7628281746373727373;20;First-person party-based RPG;10;Text adventures
-7614816475106732688;11;Graphic adventures;12;Visual novels
-7614304563965407099;15;Action RPG;41;MMO
-7612892778876766960;8;Survival horror;26;Vehicle simulation
-7612219220592081500;47;Board game / Card game;47;Board game / Card game
-7609845816744886130;11;Graphic adventures;18;Tactical RPG
-7608002629073194130;18;Tactical RPG;14;Real-time 3D adventures
-7603840314798245383;21;Cultural differences;14;Real-time 3D adventures
-7598585730922379698;8;Survival horror;6;Survival games
-7593653310954998504;46;Trivia game;55;Personalized game
-7586501775334161230;20;First-person party-based RPG;8;Survival horror
-7586456817915775637;16;MMORPG;44;Programming game
-7578143566671489968;16;MMORPG;49;Art game
-7577437246949923766;11;Graphic adventures;14;Real-time 3D adventures
-7566577303043304153;20;First-person party-based RPG;55;Personalized game
-7564072623556438847;15;Action RPG;43;Party game
-7560779727504530987;25;Life simulation;21;Cultural differences
-7549790992642100165;27;4X game;10;Text adventures
-7529098966302667428;17;Roguelikes;55;Personalized game
-7518231929889580364;32;Tower defense;49;Art game
-7516929537245367870;47;Board game / Card game;41;MMO
-7514189572239419322;53;Electronic sports;29;Real-time strategy (RTS)
-7512243413024515898;51;Christian game;44;Programming game
-7481791617112071768;40;Sports-based fighting;51;Christian game
-7481129175819094645;24;Construction and management simulation;3;Fighting games
-7479074405258870864;8;Survival horror;1;Platform games
-7478752248606002043;49;Art game;26;Vehicle simulation
-7469567937706452432;5;Stealth game;16;MMORPG
-7464203660878347120;18;Tactical RPG;34;Turn-based tactics (TBT)
-7450375387265402963;18;Tactical RPG;8;Survival horror
-7440484501981151867;55;Personalized game;34;Turn-based tactics (TBT)
-7438371817061982203;37;Racing;31;Multiplayer online battle arena (MOBA)
-7429326744877018678;22;Choices;51;Christian game
-7428488813077291569;47;Board game / Card game;29;Real-time strategy (RTS)
-7418271324777792710;36;Grand strategy wargame;48;Advergame
-7414377626258633808;38;Sports game;25;Life simulation
-7411625890946800759;30;Real-time tactics (RTT);27;4X game
-7411553227012463071;4;Beat em up games;20;First-person party-based RPG
-7404450008190113546;21;Cultural differences;32;Tower defense
-7379825364434991349;11;Graphic adventures;56;Serious game
-7374397731642463599;46;Trivia game;23;Fantasy
-7372289205423316540;52;Educational game;33;Turn-based strategy (TBS)
-7360990666277851853;1;Platform games;27;4X game
-7356576492681539296;42;Casual games;3;Fighting games
-7339997844695976409;32;Tower defense;23;Fantasy
-7321167237550478332;44;Programming game;56;Serious game
-7314856697539524980;37;Racing;16;MMORPG
-7311198873167392978;56;Serious game;36;Grand strategy wargame
-7309785525313217826;31;Multiplayer online battle arena (MOBA);50;Casual game
-7301062191226243312;1;Platform games;43;Party game
-7294234121915444050;14;Real-time 3D adventures;39;Competitive
-7289811044831171794;50;Casual game;45;Logic game
-7285773844620464813;16;MMORPG;4;Beat em up games
-7281129965901165679;40;Sports-based fighting;53;Electronic sports
-7278582198710283280;55;Personalized game;33;Turn-based strategy (TBS)
-7276130328056460431;6;Survival games;19;Sandbox RPG
-7271796070924441661;15;Action RPG;49;Art game
-7265199900374281456;49;Art game;52;Educational game
-7247795089715951346;15;Action RPG;18;Tactical RPG
-7245504153299528313;55;Personalized game;29;Real-time strategy (RTS)
-7245375874822284937;35;Wargame;51;Christian game
-7235437292980785734;9;Metroidvania;12;Visual novels
-7219681053609775016;32;Tower defense;37;Racing
-7218022570199931878;45;Logic game;6;Survival games
-7212684211293107684;5;Stealth game;52;Educational game
-7209694400595759532;28;Artillery game;3;Fighting games
-7199104739092142556;14;Real-time 3D adventures;22;Choices
-7197356162216407544;22;Choices;29;Real-time strategy (RTS)
-7193738256492634373;23;Fantasy;46;Trivia game
-7192406124829654725;47;Board game / Card game;49;Art game
-7191933284090346948;7;Rhythm games;48;Advergame
-7190062805652319037;16;MMORPG;17;Roguelikes
-7187207855065657190;27;4X game;45;Logic game
-7185331416163674664;43;Party game;24;Construction and management simulation
-7180076003828589515;46;Trivia game;48;Advergame
-7169626661245374885;44;Programming game;51;Christian game
-7148733320281475532;36;Grand strategy wargame;19;Sandbox RPG
-7143694791060080085;31;Multiplayer online battle arena (MOBA);11;Graphic adventures
-7140067801974498865;21;Cultural differences;56;Serious game
-7138252096010183070;13;Interactive movie;18;Tactical RPG
-7134334378224953083;45;Logic game;35;Wargame
-7128556774963539428;27;4X game;18;Tactical RPG
-7125375816111216670;10;Text adventures;13;Interactive movie
-7122520081531534370;44;Programming game;12;Visual novels
-7121214941612333200;5;Stealth game;45;Logic game
-7117863653870226039;8;Survival horror;34;Turn-based tactics (TBT)
-7117504755520861471;40;Sports-based fighting;44;Programming game
-7112324139045964263;18;Tactical RPG;20;First-person party-based RPG
-7108356924680729388;51;Christian game;21;Cultural differences
-7106516247723062991;47;Board game / Card game;23;Fantasy
-7105278979079637845;19;Sandbox RPG;41;MMO
-7099673285428198886;14;Real-time 3D adventures;44;Programming game
-7097145786805617986;30;Real-time tactics (RTT);17;Roguelikes
-7096677466982625455;17;Roguelikes;38;Sports game
-7095157251586060223;30;Real-time tactics (RTT);41;MMO
-7087271311707692481;45;Logic game;53;Electronic sports
-7083716389380465369;25;Life simulation;26;Vehicle simulation
-7081141060261605132;25;Life simulation;29;Real-time strategy (RTS)
-7068671005816865942;38;Sports game;49;Art game
-7068344077418479415;23;Fantasy;4;Beat em up games
-7054515708752204772;4;Beat em up games;26;Vehicle simulation
-7051243009764905360;25;Life simulation;42;Casual games
-7027761893677895904;4;Beat em up games;31;Multiplayer online battle arena (MOBA)
-7025490954757147195;36;Grand strategy wargame;18;Tactical RPG
-7011865272656769293;30;Real-time tactics (RTT);38;Sports game
-7011701221752352195;33;Turn-based strategy (TBS);7;Rhythm games
-7009344473452917130;4;Beat em up games;3;Fighting games
-6992146214927571012;25;Life simulation;31;Multiplayer online battle arena (MOBA)
-6988574339376854682;35;Wargame;30;Real-time tactics (RTT)
-6985208541947105066;9;Metroidvania;48;Advergame
-6984480722644677468;39;Competitive;9;Metroidvania
-6981137568029149709;16;MMORPG;41;MMO
-6979561846712260367;11;Graphic adventures;39;Competitive
-6959419413254902036;9;Metroidvania;10;Text adventures
-6956918330238891004;43;Party game;38;Sports game
-6943474908254024662;52;Educational game;53;Electronic sports
-6943345677207984350;2;Shooter games;9;Metroidvania
-6940090045783732671;3;Fighting games;19;Sandbox RPG
-6939305260875440407;13;Interactive movie;31;Multiplayer online battle arena (MOBA)
-6929597185088310780;28;Artillery game;38;Sports game
-6914374811275853709;52;Educational game;54;Exergame
-6906324800965455761;32;Tower defense;22;Choices
-6897284050721831507;38;Sports game;23;Fantasy
-6896585075305431321;50;Casual game;15;Action RPG
-6895683074752596437;44;Programming game;42;Casual games
-6880016267083780411;37;Racing;32;Tower defense
-6878060887986443466;14;Real-time 3D adventures;23;Fantasy
-6870780097979448126;53;Electronic sports;53;Electronic sports
-6843054476877166097;19;Sandbox RPG;53;Electronic sports
-6840524003580444923;8;Survival horror;38;Sports game
-6836499292460656955;7;Rhythm games;7;Rhythm games
-6830992688157535648;12;Visual novels;5;Stealth game
-6824935623058820960;54;Exergame;11;Graphic adventures
-6809578871407134194;53;Electronic sports;18;Tactical RPG
-6805443572425119640;42;Casual games;18;Tactical RPG
-6802724754558107979;55;Personalized game;54;Exergame
-6789285396954549777;22;Choices;39;Competitive
-6754004531861602628;40;Sports-based fighting;18;Tactical RPG
-6749439873464985490;37;Racing;34;Turn-based tactics (TBT)
-6748319100119783627;15;Action RPG;8;Survival horror
-6747772509454838600;40;Sports-based fighting;55;Personalized game
-6744141899838823595;34;Turn-based tactics (TBT);44;Programming game
-6734629855988505353;48;Advergame;43;Party game
-6731916686753356836;38;Sports game;55;Personalized game
-6726797175659374282;27;4X game;43;Party game
-6722435521916944129;2;Shooter games;15;Action RPG
-6720548270986939561;43;Party game;20;First-person party-based RPG
-6698751658119420171;15;Action RPG;6;Survival games
-6698285019639448393;8;Survival horror;39;Competitive
-6666285523572370280;1;Platform games;28;Artillery game
-6662404453902695152;19;Sandbox RPG;30;Real-time tactics (RTT)
-6657136413119168298;15;Action RPG;35;Wargame
-6649813945343132689;3;Fighting games;48;Advergame
-6639831030486716888;6;Survival games;51;Christian game
-6637387651184763051;28;Artillery game;26;Vehicle simulation
-6631845401018281851;12;Visual novels;17;Roguelikes
-6627122834372855783;11;Graphic adventures;41;MMO
-6626672334621012740;10;Text adventures;20;First-person party-based RPG
-6625721375015693361;46;Trivia game;43;Party game
-6619604456814267877;18;Tactical RPG;23;Fantasy
-6614543676191528679;56;Serious game;21;Cultural differences
-6605744234275153037;39;Competitive;44;Programming game
-6597235581163343660;14;Real-time 3D adventures;19;Sandbox RPG
-6594547478118045972;9;Metroidvania;34;Turn-based tactics (TBT)
-6570561176899494918;39;Competitive;52;Educational game
-6570216437245865237;6;Survival games;42;Casual games
-6567094502707139315;52;Educational game;35;Wargame
-6562779024777230155;9;Metroidvania;36;Grand strategy wargame
-6545243209081871600;43;Party game;54;Exergame
-6532907847035116808;42;Casual games;19;Sandbox RPG
-6525991593283977132;12;Visual novels;12;Visual novels
-6520216068676882232;16;MMORPG;35;Wargame
-6516100303931639460;45;Logic game;56;Serious game
-6497748973380196251;14;Real-time 3D adventures;31;Multiplayer online battle arena (MOBA)
-6491197921185902309;37;Racing;20;First-person party-based RPG
-6488173855905213489;5;Stealth game;56;Serious game
-6486831199628514085;8;Survival horror;45;Logic game
-6483821677335869620;32;Tower defense;8;Survival horror
-6474132685780614736;1;Platform games;56;Serious game
-6466327264703226285;11;Graphic adventures;38;Sports game
-6465261951306504275;10;Text adventures;43;Party game
-6458471663491732279;24;Construction and management simulation;8;Survival horror
-6449669215729704538;45;Logic game;43;Party game
-6437698333379012138;53;Electronic sports;33;Turn-based strategy (TBS)
-6431824065485643151;48;Advergame;30;Real-time tactics (RTT)
-6429056218842307114;20;First-person party-based RPG;49;Art game
-6425079067974093450;31;Multiplayer online battle arena (MOBA);30;Real-time tactics (RTT)
-6417502247234813470;15;Action RPG;34;Turn-based tactics (TBT)
-6416389644010897606;2;Shooter games;5;Stealth game
-6415922091598340134;4;Beat em up games;51;Christian game
-6414333452299197596;30;Real-time tactics (RTT);18;Tactical RPG
-6406085018868950251;9;Metroidvania;26;Vehicle simulation
-6405980299754081872;18;Tactical RPG;42;Casual games
-6404318960167768969;52;Educational game;7;Rhythm games
-6399008115154869179;38;Sports game;51;Christian game
-6398146395032448571;46;Trivia game;42;Casual games
-6396557384249680439;17;Roguelikes;24;Construction and management simulation
-6387258788249627021;31;Multiplayer online battle arena (MOBA);36;Grand strategy wargame
-6386461060565642679;50;Casual game;38;Sports game
-6385463377334539824;24;Construction and management simulation;42;Casual games
-6377033393048019595;25;Life simulation;5;Stealth game
-6376144203923852367;44;Programming game;10;Text adventures
-6367833516760380324;35;Wargame;15;Action RPG
-6339980634492593277;51;Christian game;42;Casual games
-6339435030198145664;30;Real-time tactics (RTT);40;Sports-based fighting
-6330184050475960324;46;Trivia game;41;MMO
-6329167978858104679;10;Text adventures;56;Serious game
-6327903613704160471;37;Racing;4;Beat em up games
-6325992618434824407;21;Cultural differences;12;Visual novels
-6322739842539233372;56;Serious game;56;Serious game
-6320172454932208375;46;Trivia game;10;Text adventures
-6309862642134034375;16;MMORPG;25;Life simulation
-6301061805651619923;6;Survival games;17;Roguelikes
-6299231063864949393;29;Real-time strategy (RTS);11;Graphic adventures
-6289814290083040126;8;Survival horror;4;Beat em up games
-6282467736022003028;41;MMO;52;Educational game
-6276182405007277750;50;Casual game;49;Art game
-6273296175269462839;16;MMORPG;36;Grand strategy wargame
-6272596065829724478;15;Action RPG;14;Real-time 3D adventures
-6270029595907617077;14;Real-time 3D adventures;55;Personalized game
-6263387267733151019;51;Christian game;35;Wargame
-6262777478295256133;18;Tactical RPG;38;Sports game
-6255761597614900776;24;Construction and management simulation;27;4X game
-6254846166053072838;31;Multiplayer online battle arena (MOBA);27;4X game
-6252294840802773630;47;Board game / Card game;19;Sandbox RPG
-6242721564436253326;40;Sports-based fighting;12;Visual novels
-6242647429964859644;50;Casual game;52;Educational game
-6238835360692478701;56;Serious game;17;Roguelikes
-6237033080409428880;31;Multiplayer online battle arena (MOBA);26;Vehicle simulation
-6234531781527472877;32;Tower defense;43;Party game
-6228844850232948134;22;Choices;1;Platform games
-6221644816501954229;20;First-person party-based RPG;45;Logic game
-6214959754466063810;17;Roguelikes;37;Racing
-6214438679827003994;3;Fighting games;4;Beat em up games
-6206946078559390922;15;Action RPG;48;Advergame
-6196311971250079536;38;Sports game;53;Electronic sports
-6193861615908218092;20;First-person party-based RPG;12;Visual novels
-6192205533678932685;42;Casual games;8;Survival horror
-6189854230123704520;37;Racing;6;Survival games
-6173540514622470505;39;Competitive;16;MMORPG
-6170417863808769403;41;MMO;6;Survival games
-6167318309585816068;51;Christian game;11;Graphic adventures
-6155745769942493638;47;Board game / Card game;42;Casual games
-6152637393433066403;45;Logic game;22;Choices
-6152284470052920497;48;Advergame;33;Turn-based strategy (TBS)
-6138956836690655037;48;Advergame;2;Shooter games
-6131109395876784583;16;MMORPG;20;First-person party-based RPG
-6129537889792607143;20;First-person party-based RPG;6;Survival games
-6118898436010506528;14;Real-time 3D adventures;52;Educational game
-6114726733327798107;12;Visual novels;41;MMO
-6101446754256443085;18;Tactical RPG;56;Serious game
-6094274530416290365;36;Grand strategy wargame;55;Personalized game
-6092146716428187176;3;Fighting games;11;Graphic adventures
-6091890387339328193;22;Choices;34;Turn-based tactics (TBT)
-6090458660098587453;12;Visual novels;35;Wargame
-6089757049740826962;17;Roguelikes;43;Party game
-6089026248093592358;28;Artillery game;23;Fantasy
-6077100658485523441;6;Survival games;45;Logic game
-6068371630089970780;21;Cultural differences;51;Christian game
-6067472649161261094;14;Real-time 3D adventures;36;Grand strategy wargame
-6062264234925972650;45;Logic game;8;Survival horror
-6061326422837333507;6;Survival games;4;Beat em up games
-6057125687259221415;34;Turn-based tactics (TBT);21;Cultural differences
-6056929482130072306;1;Platform games;22;Choices
-6056138308058992946;2;Shooter games;12;Visual novels
-6055572408675344560;42;Casual games;2;Shooter games
-6016839873260254465;14;Real-time 3D adventures;56;Serious game
-6009206884756974896;13;Interactive movie;1;Platform games
-5993539618690330831;15;Action RPG;26;Vehicle simulation
